Class,Precision,Recall,F1-Score
apple,1.0,1.0,1.0
banana,1.0,1.0,1.0
blackgram,1.0,1.0,1.0
chickpea,1.0,1.0,1.0
coconut,1.0,1.0,1.0
coffee,1.0,1.0,1.0
cotton,0.9375,1.0,0.967741935483871
grapes,1.0,1.0,1.0
jute,0.8823529411764706,1.0,0.9375
kidneybeans,1.0,1.0,1.0
lentil,1.0,1.0,1.0
maize,1.0,0.9333333333333333,0.9655172413793104
mango,1.0,1.0,1.0
mothbeans,1.0,1.0,1.0
mungbean,1.0,1.0,1.0
muskmelon,1.0,1.0,1.0
orange,1.0,1.0,1.0
papaya,1.0,1.0,1.0
pigeonpeas,1.0,1.0,1.0
pomegranate,1.0,1.0,1.0
rice,1.0,0.8666666666666667,0.9285714285714286
watermelon,1.0,1.0,1.0
